Qb_solv_energies
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,30,200,10000,1,22.5,22.5,10,1.0,128,5,True,False,1,False


Column names:
0,1,2,3,4,5,6,7,8,9


-0.0,-0.0,-10.360442146658897,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.019393920898438,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.248874563723803,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.421115562319756,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.658981958404183,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.145265419967473,-676.0,-0.0,-13.612274169921875,-676.0,-0.0,-0.0,-27.029468062333763
-0.0,-0.0,-10.371857091784477,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.755422465503216,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.284543327987194,-676.0,-0.0,-13.612274169921875,-676.0,-0.0,-0.0,-26.072355024516582
-0.0,-0.0,-10.02117432281375,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.003253735601902,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.113468378782272,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.347613729536533,-676.0,-0.0,-13.612274169921875,-676.0,-0.0,-0.0,-27.96557055786252
-0.0,-0.0,-9.997988816350698,-676.0,-0.0,-13.612274169921875,-676.0,-0.0,-0.0,-26.530039965175092
-0.0,-0.0,-10.533340252935886,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.124729140661657,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-9.961936950683594,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.399693404324353,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.360515313223004,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.160037286579609,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-10.687696557492018,-676.0,-0.0,-13.612274169921875,-676.0,-0.0,-0.0,-27.822671301662922
-0.0,-0.0,-10.04773734882474,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
-0.0,-0.0,-9.985988765954971,-676.0,-0.0,-13.612274169921875,-676.0,-0.0,-0.0,-25.141873126849532
-0.0,-0.0,-10.258865475654602,-676.0,-0.0,-0.0,-32.91364288330078,-676.0,-0.0,-0.0
