Qb_solv_energies
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,20,200,10000,1,22.5,22.5,20,1.0,256.0,5,True,False,1,False


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19


-0.0,-0.0,-16.412462497595698,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-37.99352029338479,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-23.037388429045677,-451.0,-0.0,-13.612274169921875
-0.0,-0.0,-16.346484976354986,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-36.90021773800254,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-20.5531959310174,-451.0,-0.0
-0.0,-0.0,-16.967099340399727,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-37.44030163716525,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-44.67437107488513,-451.0,-0.0,-0.0
-0.0,-0.0,-14.844835111871362,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-39.10162010230124,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-19.074757119640708,-451.0,-0.0
-0.0,-0.0,-13.179602146148682,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-34.79750677570701,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-43.19768565893173,-451.0
-0.0,-0.0,-11.258726790547371,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-29.744215425103903,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-29.681282794103026,-451.0,-0.0
-0.0,-0.0,-17.630196399986744,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-36.567595079541206,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-45.61361961811781,-451.0,-0.0
-0.0,-0.0,-17.075917441397905,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-37.21316075697541,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-39.753503412008286,-451.0,-0.0,-0.0
-0.0,-0.0,-15.728589985519648,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-35.50891776266508,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-22.671120106242597,-451.0,-0.0,-13.612274169921875
-0.0,-0.0,-14.608268419280648,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-37.92974665760994,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-19.61543907225132,-451.0,-0.0
-0.0,-0.0,-11.111783249303699,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-30.227911431342363,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-32.47447934001684,-451.0
