Qb_solv_energies
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,40,200,10000,1,22.5,22.5,10,1.0,128,5,True,False,1,False


Column names:
0,1,2,3,4,5,6,7,8,9


-0.0,-0.0,-9.877722103148699,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-9.98325353115797,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-9.858840942382812,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-9.994129359722137,-901.0,-0.0,-13.612274169921875,-901.0,-0.0,-0.0,-27.928274165838957
-0.0,-0.0,-10.1335928440094,-901.0,-0.0,-13.612274169921875,-901.0,-0.0,-0.0,-27.10385373234749
-0.0,-0.0,-10.059991516172886,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-10.271311953663826,-901.0,-0.0,-13.612274169921875,-901.0,-0.0,-0.0,-28.345276127569377
-0.0,-0.0,-10.36031760275364,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-10.38076401874423,-901.0,-0.0,-13.612274169921875,-901.0,-0.0,-0.0,-27.203873513732105
-0.0,-0.0,-9.989475948736072,-901.0,-0.0,-13.612274169921875,-901.0,-0.0,-0.0,-26.806485563516617
-0.0,-0.0,-10.347949385643005,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-10.281470898538828,-901.0,-0.0,-13.612274169921875,-901.0,-0.0,-0.0,-27.32587653491646
-0.0,-0.0,-9.962133020162582,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-10.13247774541378,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-10.054645247757435,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-10.0113484733738,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-9.938614249229431,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-9.808841165155172,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-9.858840942382812,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-9.858840942382812,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-10.565883338451385,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-10.048195280134678,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
-0.0,-0.0,-9.991305839270353,-901.0,-0.0,-13.612274169921875,-901.0,-0.0,-0.0,-29.869681289652362
-0.0,-0.0,-10.15920471213758,-901.0,-0.0,-0.0,-32.91364288330078,-901.0,-0.0,-0.0
