Qb_solv_energies
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,20,100,10000,1,22.5,22.5,30,1.0,128,5,True,False,1,False


Column names:
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29


-0.0,-0.0,-9.996071755886078,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-29.400060292333364,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-31.323283810168505,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-33.223127871751785,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0
-0.0,-0.0,-10.508958209684351,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-29.902270402759314,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-32.409892141819,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-35.70928490161896,-451.0,-0.0,-0.0
-0.0,-0.0,-10.576659558340907,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-31.16765172407031,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-35.56150563713163,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-42.02388675138354,-451.0,-0.0,-13.612274169921875
-0.0,-0.0,-10.210138838738203,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-29.693479787558317,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-30.15556623786688,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-34.76489768922329,-451.0,-0.0,-13.612274169921875,-451.0
-0.0,-0.0,-10.053667515516281,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-28.522836308926344,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-30.692558761686087,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-36.62902380526066,-451.0,-0.0,-0.0
-0.0,-0.0,-10.164787359535694,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-25.87313847988844,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-26.657892402261496,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-27.677214607596397,-451.0,-0.0,-0.0,-32.91364288330078
-0.0,-0.0,-10.104680508375168,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-27.207718744874,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-29.994276091456413,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-30.18946561962366,-451.0,-0.0,-0.0,-32.91364288330078,-451.0
-0.0,-0.0,-10.646150819957256,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-30.576118644268718,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-28.678414419293404,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0,-36.39249538630247,-451.0,-0.0,-13.612274169921875,-451.0
